,_id,gender,subCategory,articleType,baseColour,productDisplayName,image,price
24,63d7c05221c499a3844d8f60,Men,Topwear,Shirts,Red,Levis Men Check Red Shirts,http://assets.myntassets.com/v1/images/style/properties/9584fab8cde60a77e797973020e5c91d_images.jpg,200
25,63d7c05221c499a3844d8f61,Women,Topwear,Tops,Blue,Lee Women Paula Blue Top,http://assets.myntassets.com/v1/images/style/properties/5b427e7381af213df2d54a17cd193aea_images.jpg,200
26,63d7c05221c499a3844d8f62,Men,Topwear,Shirts,Black,United Colors of Benetton Men Short Black Shirts,http://assets.myntassets.com/v1/images/style/properties/47e0bf9f4a04bd6f5901c0f4fc65e54d_images.jpg,200
27,63d7c05221c499a3844d8f63,Girls,Topwear,Tops,Blue,Gini and Jony Girls Pretty Blossom Blue Top,http://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg,200
28,63d7c05221c499a3844d8f64,Unisex,Watches,Watches,Black,ADIDAS Unisex Response ST Analogue Black Watch,http://assets.myntassets.com/v1/images/style/properties/d63e1260ab9823cd64cbe4336a5bb94d_images.jpg,200
29,63d7c05221c499a3844d8f65,Men,Shoes,Sports Shoes,Black,Lotto Men Atlantica Black Sports Shoe,http://assets.myntassets.com/v1/images/style/properties/1279efc8b61fb461a804f0c1f82f276b_images.jpg,200
30,63d7c05221c499a3844d8f66,Men,Bottomwear,Track Pants,Navy Blue,ADIDAS Men Solid Navy Blue Track Pant,http://assets.myntassets.com/v1/images/style/properties/98252134c6398e50aeebd873e6eafceb_images.jpg,200
31,63d7c05221c499a3844d8f67,Men,Shoes,Sports Shoes,Black,Puma Men's YugoRun Black White Shoe,http://assets.myntassets.com/v1/images/style/properties/fae0ae76d008674551fbdbb64988ea51_images.jpg,200
32,63d7c05221c499a3844d8f68,Men,Topwear,Shirts,Red,Locomotive Men Check Red Shirt,http://assets.myntassets.com/v1/images/style/properties/e87ae94ffdf37c089daaad8d451f6995_images.jpg,200
33,63d7c05221c499a3844d8f69,Men,Topwear,Shirts,Purple,Scullers Men Scul Purple White Shirt,http://assets.myntassets.com/v1/images/style/properties/11dcaeada4fab2e575c449e922425c5d_images.jpg,200
34,63d7c05221c499a3844d8f6a,Men,Topwear,Shirts,Blue,Basics Men Blue Slim Fit Checked Shirt,http://assets.myntassets.com/v1/images/style/properties/2811fe105e63b5795a6442edb85bb6cd_images.jpg,200
35,63d7c05221c499a3844d8f6b,Women,Topwear,Tops,Blue,Scullers For Her Women Blue Top,http://assets.myntassets.com/v1/images/style/properties/018b322355f8a44f117488fee256049c_images.jpg,200
36,63d7c05221c499a3844d8f6c,Men,Topwear,Shirts,Green,Flying Machine Men Check Green Shirts,http://assets.myntassets.com/v1/images/style/properties/6934c2d1bc11313536fd82a1192a1d33_images.jpg,200
37,63d7c05221c499a3844d8f6d,Men,Flip Flops,Flip Flops,Grey,Puma Men's Winglet II Grey Yellow White Flip Flop,http://assets.myntassets.com/v1/images/style/properties/9473ae18face7603f7bdb4b6fda3d8e2_images.jpg,200
38,63d7c05221c499a3844d8f6e,Men,Bottomwear,Jeans,Blue,Locomotive Men Washed Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/6cb6a14583b044dca0a0bd9efc2fc4c7_images.jpg,200
39,63d7c05221c499a3844d8f6f,Women,Watches,Watches,Silver,Helix Women Silver Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Helix-Women-Silver-Dial-Watch_43fa66002d9a709539eb6ff7ed9384ce_images.jpg,200
40,63d7c05221c499a3844d8f70,Women,Wallets,Wallets,Coffee Brown,United Colors of Benetton Women Solid Coffee Brown Wallets,http://assets.myntassets.com/v1/images/style/properties/90a495f259d10b2ff562dc0841721f7d_images.jpg,200
41,63d7c05221c499a3844d8f71,Men,Socks,Socks,Grey,Lino Perros Men Pack of 2 Socks,http://assets.myntassets.com/v1/images/style/properties/c572452716fa31fb03fa32d43629e335_images.jpg,200
42,63d7c05221c499a3844d8f72,Men,Topwear,Shirts,Navy Blue,Indigo Nation Men Checks Shirt Navy Blue Shirts,http://assets.myntassets.com/v1/images/style/properties/91351f3c000928d10198c09cfa04611b_images.jpg,200
43,63d7c05221c499a3844d8f73,Men,Bottomwear,Jeans,Blue,Lee Men Blue Chicago Fit Jeans,http://assets.myntassets.com/v1/images/style/properties/cd76a36fca88fe74d1d25ee7fd96881a_images.jpg,200
44,63d7c05221c499a3844d8f74,Men,Topwear,Tshirts,Black,United Colors of Benetton Men Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/7806d266865c89cb087a259ab7250e01_images.jpg,200
45,63d7c05221c499a3844d8f75,Women,Topwear,Tops,Pink,Sepia Women Pink Top,http://assets.myntassets.com/v1/images/style/properties/e0da05b38a2fe03cace0a8fbddc65006_images.jpg,200
46,63d7c05221c499a3844d8f76,Women,Topwear,Shirts,Blue,Arrow Woman Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/2b2bb303e1b844960d62d84888b226e0_images.jpg,200
47,63d7c05221c499a3844d8f77,Men,Bottomwear,Jeans,Black,Peter England Men Party Black Jeans,http://assets.myntassets.com/v1/images/style/properties/78bf924de236777a9bc6662b076449e4_images.jpg,200
48,63d7c05221c499a3844d8f78,Men,Topwear,Tshirts,Navy Blue,U.S. Polo Assn. Men Solid Navy Blue Tshirt,http://assets.myntassets.com/v1/images/style/properties/4dcc3b32e48ebb49502a3384edff6ccf_images.jpg,200
49,63d7c05221c499a3844d8f79,Men,Watches,Watches,White,Fastrack Men White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/0eb97e007901b52825760ea05ab73f09_images.jpg,200
50,63d7c05221c499a3844d8f7a,Men,Topwear,Tshirts,Maroon,French Connection Men Maroon T-shirt,http://assets.myntassets.com/v1/images/style/properties/e12348ff6e8ce788a82060aa7bbd55f6_images.jpg,200
51,63d7c05221c499a3844d8f7b,Women,Topwear,Shirts,Teal,Jealous 21 Women Teal Shirt,http://assets.myntassets.com/v1/images/style/properties/Jealous-21-Women-Teal-Shirt_33d3c1ebfd4326101c5d138dbef83c65_images.jpg,200
52,63d7c05221c499a3844d8f7c,Women,Topwear,Shirts,Purple,United Colors of Benetton Women Purple Shirt,http://assets.myntassets.com/v1/images/style/properties/7f98a5ed0ace114dd53496079ebf66be_images.jpg,200
53,63d7c05221c499a3844d8f7d,Men,Shoes,Formal Shoes,Black,Carlton London Men Black Oxford Wingtip Brogues,http://assets.myntassets.com/v1/images/style/properties/f1d954cfacfc79f32325794d43b6c3a0_images.jpg,200
54,63d7c05221c499a3844d8f7e,Girls,Topwear,Tops,Pink,Gini and Jony Girls Pretty Blossom Pink Top,http://assets.myntassets.com/v1/images/style/properties/1397081a5a637d539b0197aae4a6855e_images.jpg,200
55,63d7c05221c499a3844d8f7f,Women,Innerwear,Bra,White,Peri Peri Women White Bra,http://assets.myntassets.com/v1/images/style/properties/Peri-Peri-Women-White-Bra_e94a285c2c2dfc0ab742eda172d0e2c3_images.jpg,200
56,63d7c05221c499a3844d8f80,Men,Topwear,Shirts,Green,Locomotive Men Checked Green Shirt,http://assets.myntassets.com/v1/images/style/properties/69b55593f043e59513642eeea29a737b_images.jpg,200
57,63d7c05221c499a3844d8f81,Men,Shoes,Sports Shoes,Grey,Nike Men Lunarswift+ 3 Shield Grey Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/9854a566783e31b6172f1deab77281fa_images.jpg,200
58,63d7c05221c499a3844d8f82,Women,Topwear,Tops,Navy Blue,Lee Women Katie Navy Blue Top,http://assets.myntassets.com/v1/images/style/properties/440c755b5bf8e95bd75d3a8b511f96da_images.jpg,200
59,63d7c05221c499a3844d8f83,Men,Shoes,Sports Shoes,Black,Nike Men's Lunarswift Black Shoe,http://assets.myntassets.com/v1/images/style/properties/f23c4d59eb6ca3cd621c3db690e0c708_images.jpg,200
60,63d7c05221c499a3844d8f84,Men,Topwear,Tshirts,Navy Blue,Classic Polo Men Printed Navy Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/ea3f97ed1d89b449b782c01da33591b3_images.jpg,200
61,63d7c05221c499a3844d8f85,Men,Topwear,Shirts,Black,Levis Men Check Black Shirts,http://assets.myntassets.com/v1/images/style/properties/c7118251a3a216f7667ba45f8f621ccc_images.jpg,200
62,63d7c05221c499a3844d8f86,Women,Innerwear,Bra,Black,Lovable Women All Day Long Black Bra,http://assets.myntassets.com/v1/images/style/properties/37da655b48ef258563ea85941746348b_images.jpg,200
63,63d7c05221c499a3844d8f87,Men,Topwear,Tshirts,Grey,Puma Men Puma runhard tee Grey Tshirts,http://assets.myntassets.com/v1/images/style/properties/821d377e49f3aa198c1937e9793099a6_images.jpg,200
64,63d7c05221c499a3844d8f88,Men,Shoes,Formal Shoes,Black,Franco Leone Men Formal Shoes,http://assets.myntassets.com/v1/images/style/properties/851760e82d34ebdc4b38d0dcd399e3f2_images.jpg,200
65,63d7c05221c499a3844d8f89,Men,Topwear,Tshirts,Pink,Mr.Men Men's Mr.Mischief Pink T-shirt,http://assets.myntassets.com/v1/images/style/properties/9972e0224ec65fe016e2703e8576475a_images.jpg,200
66,63d7c05221c499a3844d8f8a,Men,Topwear,Tshirts,White,Basics Men White T-shirt,http://assets.myntassets.com/v1/images/style/properties/Basics-Men-White-T-shirt_09fac0ea8036d4de33ceec2351630e04_images.jpg,200
67,63d7c05221c499a3844d8f8b,Men,Sandal,Sandals,Black,Decathlon Men Arpenaz Black Sandals,http://assets.myntassets.com/v1/images/style/properties/11371998e15f21cf032b30fdba5e972c_images.jpg,200
68,63d7c05221c499a3844d8f8c,Men,Topwear,Tshirts,Green,Arrow Sport Men Solid Green Polo Tshirts,http://assets.myntassets.com/v1/images/style/properties/8ecd514f28da61172ad5a38e58079315_images.jpg,200
69,63d7c05221c499a3844d8f8d,Girls,Topwear,Tshirts,Yellow,Disney Kids Girl's Summer Fun Fair Yellow Teen Kidswear,http://assets.myntassets.com/v1/images/style/properties/1109685531795f17aca2acaba2ab39ad_images.jpg,200
70,63d7c05221c499a3844d8f8e,Men,Topwear,Shirts,Cream,Reid & Taylor Men Solid Cream Shirts,http://assets.myntassets.com/v1/images/style/properties/61cb9703bb506a0b9671988c015ac432_images.jpg,200
71,63d7c05221c499a3844d8f8f,Men,Topwear,Shirts,Green,Indigo Nation Men Checks Green Shirts,http://assets.myntassets.com/v1/images/style/properties/85a672861b73e66b706c36c53bf17166_images.jpg,200
72,63d7c05221c499a3844d8f90,Men,Shoes,Sports Shoes,Black,Fila Men Glow Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/4bfce78151c396213aa4ce1ad204468b_images.jpg,200
73,63d7c05221c499a3844d8f91,Women,Bags,Handbags,Beige,Lino Perros Women Solid Beige Handbag,http://assets.myntassets.com/v1/images/style/properties/24297ac545ea122a3c333be495b7b5cd_images.jpg,200
74,63d7c05221c499a3844d8f92,Men,Topwear,Shirts,Black,Scullers Men Black Check Shirt,http://assets.myntassets.com/v1/images/style/properties/c9748ec8d7ce34ecbc57c1a0e3cc28cd_images.jpg,200
75,63d7c05221c499a3844d8f93,Unisex,Bags,Messenger Bag,Grey,Wildcraft Unisex Grey Printed Messenger Bag,http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Outdoor-Jinx-Grey-Bag_4676a6bac7ccdde9216aa50c23cc4295_images.jpg,200
76,63d7c05221c499a3844d8f94,Men,Topwear,Shirts,Blue,John Players Men Check Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/246ce1a949142a850ad580a014831782_images.jpg,200
77,63d7c05221c499a3844d8f95,Men,Topwear,Tshirts,Black,U.S. Polo Assn. Men Solid Black  polo Tshirt,http://assets.myntassets.com/v1/images/style/properties/55878488c3dc46bc4407a383fea649ba_images.jpg,200
78,63d7c05221c499a3844d8f96,Men,Shoes,Casual Shoes,Black,Timberland Men Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/5863961b3510970c2e31d466af69b32b_images.jpg,200
79,63d7c05221c499a3844d8f97,Women,Topwear,Tops,Purple,Sepia Women Purple Top,http://assets.myntassets.com/v1/images/style/properties/0c065355d66e08df89726a61a839a248_images.jpg,200
80,63d7c05221c499a3844d8f98,Women,Watches,Watches,White,Q&Q Women White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Q-Q-Women-White-Dial-Watch_0cecd11e3c157ea36fcd2ea525d5496c_images.jpg,200
81,63d7c05221c499a3844d8f99,Men,Topwear,Tshirts,Blue,Mark Taylor Men Printed Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/33a4f23ed9e1dc05e97ea94ab4809301_images.jpg,200
82,63d7c05221c499a3844d8f9a,Men,Topwear,Shirts,Blue,Flying Machine Men Ydc Blue Shirts,http://assets.myntassets.com/v1/images/style/properties/b77929d59d81689e660446586e5e8dc3_images.jpg,200
83,63d7c05221c499a3844d8f9b,Men,Bottomwear,Jeans,Black,Peter England Men Black Jeans,http://assets.myntassets.com/v1/images/style/properties/5a1df9ac28930032d37b9fa4cf5102e6_images.jpg,200
84,63d7c05221c499a3844d8f9c,Men,Watches,Watches,Silver,SKAGEN DENMARK Men Silver-Toned Dial Watch 233LSS,http://assets.myntassets.com/v1/images/style/properties/Skagen-Men-Silver-Dial-Watch_6740c9a4f54c666024ca6f230661c209_images.jpg,200
85,63d7c05221c499a3844d8f9d,Men,Shoes,Casual Shoes,Black,Playboy Men Black Shoes,http://assets.myntassets.com/v1/images/style/properties/18ecb9a34ecd356d39bc6f15b87fe64c_images.jpg,200
86,63d7c05221c499a3844d8f9e,Women,Bags,Clutches,Black,Murcia Women Casual Black Clutch,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Casual-Black-Clutch_798bff33cb89c8f93140b8e22290e7c1_images.jpg,200
87,63d7c05221c499a3844d8f9f,Women,Topwear,Sweatshirts,Pink,Urban Yoga Women Solid Pink Sweatshirts,http://assets.myntassets.com/v1/images/style/properties/080c049630e5a1031def1f9733dd502a_images.jpg,200
88,63d7c05221c499a3844d8fa0,Men,Shoes,Casual Shoes,Brown,ADIDAS Men Brown Shoes,http://assets.myntassets.com/v1/images/style/properties/b676624ef006e153f4ac61d5a70d31d8_images.jpg,200
89,63d7c05221c499a3844d8fa1,Women,Topwear,Tops,Black,United Colors of Benetton Women Solid Black Tops,http://assets.myntassets.com/v1/images/style/properties/5dd9bc64a38b34742fd72c58798e2247_images.jpg,200
90,63d7c05221c499a3844d8fa2,Women,Innerwear,Bra,Black,Peri Peri Women Black Bra,http://assets.myntassets.com/v1/images/style/properties/Peri-Peri-Women-Black-Bra_1a526d0d60b1452f80c43adf2e86cbfe_images.jpg,200
91,63d7c05221c499a3844d8fa3,Men,Topwear,Shirts,Maroon,Scullers Men Solid Maroon Shirts,http://assets.myntassets.com/v1/images/style/properties/704ffb8c6c7bad843aaf5423eedc1b80_images.jpg,200
92,63d7c05221c499a3844d8fa4,Men,Topwear,Tshirts,Blue,Basics Men Blue Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/8e273ddc56bbc75b9706e860dd0dcdb3_images.jpg,200
93,63d7c05221c499a3844d8fa5,Women,Topwear,Jackets,Black,Forever New Women Long Black Jacket,http://assets.myntassets.com/v1/images/style/properties/dc32ed33c6d783860dc7b5e9f992c812_images.jpg,200
94,63d7c05221c499a3844d8fa6,Men,Topwear,Tshirts,Navy Blue,Mr.Men Men's Mr.Busy Navy T-shirt,http://assets.myntassets.com/v1/images/style/properties/1aa3626f05339e3d6cd1a91c895dedda_images.jpg,200
95,63d7c05221c499a3844d8fa7,Men,Shoes,Casual Shoes,Black,Fila Men Paramount Plus Black Shoes,http://assets.myntassets.com/v1/images/style/properties/f082906efcf97934d09f2bdd2906909b_images.jpg,200
96,63d7c05221c499a3844d8fa8,Women,Topwear,Shirts,Lavender,Arrow Woman Lavender Shirt,http://assets.myntassets.com/v1/images/style/properties/b6d14ed28d8e41421827515783d436c3_images.jpg,200
97,63d7c05221c499a3844d8fa9,Men,Shoes,Casual Shoes,Black,Numero Uno Men Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/efef30c05460e90a1e170998dde8f92c_images.jpg,200
98,63d7c05221c499a3844d8faa,Men,Topwear,Shirts,Grey,United Colors of Benetton Men Grey Shirt,http://assets.myntassets.com/v1/images/style/properties/2f2c6dcff00bf8d1a66fe284c2e92182_images.jpg,200
99,63d7c05221c499a3844d8fab,Men,Topwear,Tshirts,Blue,Flying Machine Men Blue Polo Tshirts,http://assets.myntassets.com/v1/images/style/properties/9e1e09898d71cb1e3cb46a232eda4617_images.jpg,200
100,63d7c05221c499a3844d8fac,Men,Topwear,Tshirts,Green,U.S. Polo Assn. Men Solid Green Tshirt,http://assets.myntassets.com/v1/images/style/properties/41b8c79966d01c7427527372924fe532_images.jpg,200
101,63d7c05221c499a3844d8fad,Men,Topwear,Shirts,Black,Reid & Taylor Men Solid Black Shirts,http://assets.myntassets.com/v1/images/style/properties/7fac54922fb61e254770e27851f03bae_images.jpg,200
102,63d7c05221c499a3844d8fae,Men,Flip Flops,Flip Flops,Black,Rockport Men Jelbalp Black Flip Flops,http://assets.myntassets.com/v1/images/style/properties/717a23d80631d14e60bbc954b06c5fb6_images.jpg,200
103,63d7c05221c499a3844d8faf,Men,Topwear,Shirts,Blue,Indigo Nation Men Checks Blue Shirts,http://assets.myntassets.com/v1/images/style/properties/5824da2955055c4b2893259393ebac06_images.jpg,200
104,63d7c05221c499a3844d8fb0,Men,Topwear,Tshirts,Blue,Locomotive Men Printed Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/492e209292dd6cadd3527ad8332ff41b_images.jpg,200
105,63d7c05221c499a3844d8fb1,Men,Topwear,Tshirts,Grey,Proline Men Grey T-shirt,http://assets.myntassets.com/v1/images/style/properties/45b559dbabfc2d8159d2f81de7722e24_images.jpg,200
106,63d7c05221c499a3844d8fb2,Men,Bottomwear,Jeans,Blue,Lee Men Elvira Rinse Blue Chicago Fit Jeans,http://assets.myntassets.com/v1/images/style/properties/73c2b0fbfaa86d7a08b668b2e045a455_images.jpg,200
107,63d7c05221c499a3844d8fb3,Men,Bottomwear,Jeans,Blue,Locomotive Men Washed Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/e656ae2dd568fa7089754f481e93aa03_images.jpg,200
108,63d7c05221c499a3844d8fb4,Men,Topwear,Tshirts,Blue,United Colors of Benetton Men Solid Blue Polo Tshirts,http://assets.myntassets.com/v1/images/style/properties/7d8309d08f2b0a596e0aead25616f5f6_images.jpg,200
109,63d7c05221c499a3844d8fb5,Women,Watches,Watches,Silver,Tommy Hilfiger Women Silver-Toned Dial  Watch TH1780453-D,http://assets.myntassets.com/v1/images/style/properties/Tommy-Hilfiger-Women-Silver-Dial-Watch_abe6324c8d398904ee9577db8ac79dad_images.jpg,200
110,63d7c05221c499a3844d8fb6,Men,Flip Flops,Flip Flops,Black,Lotto Men Black Koro G Slippers,http://assets.myntassets.com/v1/images/style/properties/Lotto-Men-Black-Koro-G-Slippers_a34db65a450a3a80fccb61f5fe41b549_images.jpg,200
111,63d7c05221c499a3844d8fb7,Men,Topwear,Tshirts,Blue,Flying Machine Men Solid Blue Polo Tshirts,http://assets.myntassets.com/v1/images/style/properties/02af1474655c147cf5e825e40e164bb7_images.jpg,200
112,63d7c05221c499a3844d8fb8,Women,Free Gifts,Free Gifts,White,Morellato Women White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Morellato-Women-White-Dial-Watch_b1fdec55c4180f3656468968f0c8e203_images.jpg,200
113,63d7c05221c499a3844d8fb9,Unisex,Accessories,Travel Accessory,Red,ADIDAS Unisex Red Organizer Bag,http://assets.myntassets.com/v1/images/style/properties/4b084c2ec8c06aee759ddc3d93c57f09_images.jpg,200
114,63d7c05221c499a3844d8fba,Men,Topwear,Shirts,Brown,Denizen Men Check Brown Shirt,http://assets.myntassets.com/v1/images/style/properties/2f2060a1d29361249690a5cdc388d30e_images.jpg,200
115,63d7c05221c499a3844d8fbb,Men,Shoes,Casual Shoes,Black,United Colors of Benetton Men Black Shoes,http://assets.myntassets.com/v1/images/style/properties/bb19253f1f8bce9a8ef77375cd346016_images.jpg,200
116,63d7c05221c499a3844d8fbc,Men,Socks,Socks,Blue,Reid & Taylor Men Blue Socks,http://assets.myntassets.com/v1/images/style/properties/Reid---Taylor-Men-Blue-Socks_af892516380ff395f0b3ca298468a535_images.jpg,200
117,63d7c05221c499a3844d8fbd,Women,Topwear,Tops,Lavender,s.Oliver Women Faded Lilac Top,http://assets.myntassets.com/v1/images/style/properties/cf0cd81b8e04a4bbf9246bcdee1f179f_images.jpg,200
118,63d7c05221c499a3844d8fbe,Unisex,Socks,Socks,White,ADIDAS Unisex Pack of 3 Socks,http://assets.myntassets.com/v1/images/style/properties/fde17318ac6a6bbe42c654aad4399f4e_images.jpg,200
119,63d7c05221c499a3844d8fbf,Men,Topwear,Shirts,Black,Scullers Men Black Shirt,http://assets.myntassets.com/v1/images/style/properties/76c2c7156c4514c8eb5ddfcee61a1a95_images.jpg,200
120,63d7c05221c499a3844d8fc0,Women,Wallets,Wallets,Pink,Puma Woman Pink Big Cat Wallet,http://assets.myntassets.com/v1/images/style/properties/e18462a602f14d423736b52ec1551639_images.jpg,200
121,63d7c05221c499a3844d8fc1,Women,Topwear,Tshirts,White,Nike Women As Trophy Swo White T-Shirts,http://assets.myntassets.com/v1/images/style/properties/54315bd731592e29d830218599d0a974_images.jpg,200
122,63d7c05221c499a3844d8fc2,Men,Bottomwear,Jeans,Grey,Locomotive Men Washed Grey Jeans,http://assets.myntassets.com/v1/images/style/properties/011e7c29b1e76aae12a3e266281e2858_images.jpg,200
123,63d7c05221c499a3844d8fc3,Men,Topwear,Shirts,Navy Blue,Basics Men Navy Slim Fit Checked Shirt,http://assets.myntassets.com/v1/images/style/properties/52cf18eacd56e4eecce07b23910205f1_images.jpg,200
124,63d7c05221c499a3844d8fc4,Women,Bags,Handbags,Pink,Murcia Women Pink Handbag,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Pink-Handbag97ef396812d4243422f3ba3eb22404f4_images.jpg,200
125,63d7c05221c499a3844d8fc5,Unisex,Bags,Backpacks,Blue,ADIDAS Classic Blue White Backpack,http://assets.myntassets.com/v1/images/style/properties/98bc1481404eefbc12b2cdd78b43fc9a_images.jpg,200
